Database_name,Table_name,column_name,SQL_FORMAT,Description (a very descriptive one),Valid_values,Connect_portal_only,corresponding_map_table
HealthcareDB,ADMISSIONS,ANCILLARY_INPATIENT_ALLOWED,float,The allowed monetary amount for ancillary inpatient services during this confinement.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,ANCILLARY_INPATIENT_PAID,float,The paid monetary amount for ancillary inpatient services during this confinement.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,CLINICIAN_ALLOWED,float,The allowed monetary amount for services provided by clinicians during this confinement.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,CLINICIAN_PAID,float,The paid monetary amount for services provided by clinicians during this confinement.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,OTH_ALLOWED,float,Other allowed monetary amounts during this confinement not covered by specific categories.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,OTH_PAID,float,Other paid monetary amounts during this confinement not covered by specific categories.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,EPISODE_ALLOWED,float,The total allowed monetary amount for the entire episode of care to which this confinement belongs.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,EPISODE_PAID,float,The total paid monetary amount for the entire episode of care to which this confinement belongs.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,NON_EPISODE_ALLOWED,float,Allowed monetary amounts for services or charges that fall outside of the defined episode context.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,NON_EPISODE_PAID,float,Paid monetary amounts for services or charges that fall outside of the defined episode context.,Numeric (currency),N/A,N/A
HealthcareDB,ADMISSIONS,SUSPECT_CONFINEMENT,tinyint,A flag (0 or 1) indicating if this confinement is considered suspect due to reasons like overlapping facility claims.,"0 (Not Suspect), 1 (Suspect)",N/A,N/A
HealthcareDB,ADMISSIONS,CONFINEMENT_CLASSIFICATION,tinyint,A code used for classifying this confinement for reporting or analytical purposes.,Integer codes (specific definitions external),N/A,(Lookup table likely)
HealthcareDB,ADMISSIONS,RESERVED,nvarchar(1),A field reserved for future use or to store additional miscellaneous information.,Text (single character),N/A,N/A
HealthcareDB,CLINMARK_T,MEMBER,varchar(32),"Unique member identifier, linking this clinical marker record to a specific patient.",Existing MEMBER IDs from Patients table,N/A,Patients
HealthcareDB,CLINMARK_T,RULEID,int,A unique numeric identifier for the specific clinical indicator or rule being tracked.,Integers,N/A,(Rule definition table)
HealthcareDB,CLINMARK_T,IA_TIME,tinyint,A numeric identifier for the time period of the observation. The earliest period is IA_TIME = 1.,Integers >= 1,N/A,N/A
HealthcareDB,CLINMARK_T,MIN_DT,smalldatetime,The date of the first occurrence of this clinical indicator for this member within the IA_TIME period.,Valid dates,N/A,N/A
HealthcareDB,CLINMARK_T,MAX_DT,smalldatetime,The date of the last occurrence of this clinical indicator for this member within the IA_TIME period.,Valid dates,N/A,N/A
HealthcareDB,CLINMARK_T,OCCURRENCES,smallint,The number of services or unique days that were observed for this member and clinical indicator during the IA_TIME period.,Integers,N/A,N/A
HealthcareDB,CASD,CASE_ID,int,A unique numeric identifier for the case or classification record. Primary key for this table.,Integers,N/A,N/A
HealthcareDB,CASD,SHORTDESC,varchar(120),A concise description or name for the case or classification.,Text,N/A,N/A
HealthcareDB,CASD,LONGDESC,varchar(1000),"A more detailed, longer description providing further context about the case or classification.",Text,N/A,N/A
HealthcareDB,CASD,CAT_ID,int,A numeric identifier for the category to which this case or classification belongs.,Integers,N/A,(Category table likely)
HealthcareDB,CASD,CAT_DESC,varchar(120),A textual description of the category identified by CAT_ID.,Text,N/A,N/A
